day,date,temperature_C,salinity_psu,light_Wm2,fraction_of_day,air_temp_C,wind_speed_ms,elevation_m,depth_m,bg_light_ext_1m,ice_cover
32,2012-02-02,0.5276,0.1073,51.1557,0.3520,0.5276,4.0000,0.0000,1.5171,0.6000,0.0000
33,2012-02-03,0.5502,0.1072,20.0648,0.3547,0.5502,4.0000,0.0000,1.5171,0.6000,0.0000
34,2012-02-04,0.5349,0.1066,50.0992,0.3575,0.5349,4.0000,0.0000,1.5171,0.6000,0.0000
35,2012-02-05,0.5286,0.1058,59.5412,0.3602,0.5286,4.0000,0.0000,1.5171,0.6000,0.0000
36,2012-02-06,0.5253,0.1051,59.3052,0.3630,0.5253,4.0000,0.0000,1.5171,0.6000,0.0000
37,2012-02-07,0.5542,0.1051,48.1567,0.3658,0.5542,4.0000,0.0000,1.5171,0.6000,0.0000
38,2012-02-08,0.5959,0.1055,28.8809,0.3687,0.5959,4.0000,0.0000,1.5171,0.6000,0.0000
39,2012-02-09,0.6233,0.1055,46.9012,0.3716,0.6233,4.0000,0.0000,1.5171,0.6000,0.0000
40,2012-02-10,0.6875,0.1056,64.6045,0.3744,0.6875,4.0000,0.0000,1.5171,0.6000,0.0000
41,2012-02-11,0.7024,0.1054,53.7815,0.3774,0.7024,4.0000,0.0000,1.5171,0.6000,0.0000
42,2012-02-12,0.7049,0.1051,37.7221,0.3803,0.7049,4.0000,0.0000,1.5171,0.6000,0.0000
43,2012-02-13,0.7745,0.1052,59.8240,0.3832,0.7745,4.0000,0.0000,1.5171,0.6000,0.0000
44,2012-02-14,0.7967,0.1050,40.1155,0.3862,0.7967,4.0000,0.0000,1.5171,0.6000,0.0000
45,2012-02-15,0.7329,0.1046,36.6131,0.3892,0.7329,4.0000,0.0000,1.5171,0.6000,0.0000
46,2012-02-16,0.6691,0.1058,78.0366,0.3922,0.6691,4.0000,0.0000,1.5171,0.6000,0.0000
47,2012-02-17,0.6947,0.1052,18.7800,0.3952,0.6947,4.0000,0.0000,1.5171,0.6000,0.0000
48,2012-02-18,0.6596,0.1059,51.0247,0.3983,0.6596,4.0000,0.0000,1.5171,0.6000,0.0000
49,2012-02-19,0.6274,0.1041,12.2962,0.4013,0.6274,4.0000,0.0000,1.5171,0.6000,0.0000
50,2012-02-20,0.6264,0.1041,74.5070,0.4044,0.6264,4.0000,0.0000,1.5171,0.6000,0.0000
51,2012-02-21,0.6832,0.1043,16.2746,0.4075,0.6832,4.0000,0.0000,1.5171,0.6000,0.0000
52,2012-02-22,0.6524,0.1048,16.8563,0.4106,0.6524,4.0000,0.0000,1.5171,0.6000,0.0000
53,2012-02-23,0.5631,0.1386,38.8478,0.4137,0.5631,4.0000,0.0000,1.5171,0.6000,0.0000
54,2012-02-24,0.4862,0.3639,23.2063,0.4168,0.4862,4.0000,0.0000,1.5171,0.6000,0.0000
55,2012-02-25,0.4413,1.6598,87.4665,0.4199,0.4413,4.0000,0.0000,1.5171,0.6000,0.0000
56,2012-02-26,0.5628,2.5647,84.3051,0.4230,0.5628,4.0000,0.0000,1.5171,0.6000,0.0000
57,2012-02-27,0.7081,1.9328,98.7453,0.4262,0.7081,4.0000,0.0000,1.5171,0.6000,0.0000
58,2012-02-28,0.7610,0.4757,14.5640,0.4293,0.7610,4.0000,0.0000,1.5171,0.6000,0.0000
59,2012-02-29,0.8435,0.1973,107.5419,0.4325,0.8435,4.0000,0.0000,1.5171,0.6000,0.0000
60,2012-03-01,0.9022,0.1329,24.0783,0.4357,0.9022,4.0000,0.0000,1.5171,0.6000,0.0000
61,2012-03-02,0.9447,0.1225,99.7235,0.4388,0.9447,4.0000,0.0000,1.5171,0.6000,0.0000
62,2012-03-03,1.0379,0.1355,120.7271,0.4420,1.0379,4.0000,0.0000,1.5171,0.6000,0.0000
63,2012-03-04,1.1369,0.1124,120.7438,0.4452,1.1369,4.0000,0.0000,1.5171,0.6000,0.0000
64,2012-03-05,1.1619,0.1037,102.7499,0.4484,1.1619,4.0000,0.0000,1.5171,0.6000,0.0000
65,2012-03-06,1.1696,0.1017,65.4575,0.4516,1.1696,4.0000,0.0000,1.5171,0.6000,0.0000
66,2012-03-07,1.1849,0.1013,98.5052,0.4548,1.1849,4.0000,0.0000,1.5171,0.6000,0.0000
67,2012-03-08,1.1393,0.1013,133.7372,0.4580,1.1393,4.0000,0.0000,1.5171,0.6000,0.0000
68,2012-03-09,1.2179,0.1015,79.1596,0.4612,1.2179,4.0000,0.0000,1.5171,0.6000,0.0000
69,2012-03-10,1.2582,0.1016,16.3696,0.4644,1.2582,4.0000,0.0000,1.5171,0.6000,0.0000
70,2012-03-11,1.2059,0.1068,106.0529,0.4677,1.2059,4.0000,0.0000,1.5171,0.6000,0.0000
71,2012-03-12,1.3668,0.1105,122.3826,0.4709,1.3668,4.0000,0.0000,1.5171,0.6000,0.0000
72,2012-03-13,1.7468,0.1058,137.8595,0.4741,1.7468,4.0000,0.0000,1.5171,0.6000,0.0000
73,2012-03-14,1.9561,0.1192,127.2302,0.4773,1.9561,4.0000,0.0000,1.5171,0.6000,0.0000
74,2012-03-15,1.9969,0.1208,64.9434,0.4806,1.9969,4.0000,0.0000,1.5171,0.6000,0.0000
75,2012-03-16,2.2430,0.1092,94.0937,0.4838,2.2430,4.0000,0.0000,1.5171,0.6000,0.0000
76,2012-03-17,2.4135,0.1048,113.7150,0.4870,2.4135,4.0000,0.0000,1.5171,0.6000,0.0000
77,2012-03-18,2.6574,0.1036,68.5256,0.4903,2.6574,4.0000,0.0000,1.5171,0.6000,0.0000
78,2012-03-19,2.8845,0.1032,103.0072,0.4935,2.8845,4.0000,0.0000,1.5171,0.6000,0.0000
79,2012-03-20,2.6838,0.1042,45.4775,0.4968,2.6838,4.0000,0.0000,1.5171,0.6000,0.0000
80,2012-03-21,2.9967,0.1036,91.9133,0.5000,2.9967,4.0000,0.0000,1.5171,0.6000,0.0000
81,2012-03-22,3.3254,0.1031,163.1694,0.5032,3.3254,4.0000,0.0000,1.5171,0.6000,0.0000
82,2012-03-23,3.8047,0.1030,164.6560,0.5065,3.8047,4.0000,0.0000,1.5171,0.6000,0.0000
83,2012-03-24,4.1171,0.1029,143.5300,0.5097,4.1171,4.0000,0.0000,1.5171,0.6000,0.0000
84,2012-03-25,4.3257,0.1038,119.3473,0.5130,4.3257,4.0000,0.0000,1.5171,0.6000,0.0000
85,2012-03-26,4.2871,0.1048,157.0939,0.5162,4.2871,4.0000,0.0000,1.5171,0.6000,0.0000
86,2012-03-27,4.9074,0.1032,173.9033,0.5194,4.9074,4.0000,0.0000,1.5171,0.6000,0.0000
87,2012-03-28,5.2627,0.1024,157.1728,0.5227,5.2627,4.0000,0.0000,1.5171,0.6000,0.0000
88,2012-03-29,5.5863,0.1022,166.7660,0.5259,5.5863,4.0000,0.0000,1.5171,0.6000,0.0000
89,2012-03-30,5.4944,0.1018,161.6047,0.5291,5.4944,4.0000,0.0000,1.5171,0.6000,0.0000
90,2012-03-31,5.5752,0.1016,145.8696,0.5323,5.5752,4.0000,0.0000,1.5171,0.6000,0.0000
91,2012-04-01,5.1668,0.1027,172.8792,0.5356,5.1668,4.0000,0.0000,1.5171,0.6000,0.0000
92,2012-04-02,4.6803,0.1041,177.3469,0.5388,4.6803,4.0000,0.0000,1.5171,0.6000,0.0000
93,2012-04-03,4.5361,0.1028,201.4397,0.5420,4.5361,4.0000,0.0000,1.5171,0.6000,0.0000
94,2012-04-04,4.5974,0.1016,86.2232,0.5452,4.5974,4.0000,0.0000,1.5171,0.6000,0.0000
95,2012-04-05,4.4790,0.1014,220.0628,0.5484,4.4790,4.0000,0.0000,1.5171,0.6000,0.0000
96,2012-04-06,4.8940,0.1013,216.3982,0.5516,4.8940,4.0000,0.0000,1.5171,0.6000,0.0000
97,2012-04-07,5.1795,0.1012,92.2980,0.5548,5.1795,4.0000,0.0000,1.5171,0.6000,0.0000
98,2012-04-08,4.7438,0.4445,126.9245,0.5580,4.7438,4.0000,0.0000,1.5171,0.6000,0.0000
99,2012-04-09,4.6004,0.2499,190.9045,0.5612,4.6004,4.0000,0.0000,1.5171,0.6000,0.0000
100,2012-04-10,5.1074,0.1045,207.1706,0.5643,5.1074,4.0000,0.0000,1.5171,0.6000,0.0000
101,2012-04-11,5.6532,0.1010,135.0597,0.5675,5.6532,4.0000,0.0000,1.5171,0.6000,0.0000
102,2012-04-12,6.3773,0.1009,147.9585,0.5707,6.3773,4.0000,0.0000,1.5171,0.6000,0.0000
103,2012-04-13,7.1978,0.1008,137.4018,0.5738,7.1978,4.0000,0.0000,1.5171,0.6000,0.0000
104,2012-04-14,7.2934,0.1009,132.5080,0.5770,7.2934,4.0000,0.0000,1.5171,0.6000,0.0000
105,2012-04-15,7.6379,0.1009,203.9560,0.5801,7.6379,4.0000,0.0000,1.5171,0.6000,0.0000
106,2012-04-16,7.7413,0.1206,28.8446,0.5832,7.7413,4.0000,0.0000,1.5171,0.6000,0.0000
107,2012-04-17,7.2949,0.1391,226.0572,0.5863,7.2949,4.0000,0.0000,1.5171,0.6000,0.0000
108,2012-04-18,7.4499,0.1019,207.9321,0.5894,7.4499,4.0000,0.0000,1.5171,0.6000,0.0000
109,2012-04-19,7.7071,0.1006,132.3983,0.5925,7.7071,4.0000,0.0000,1.5171,0.6000,0.0000
110,2012-04-20,7.9446,0.1003,84.3076,0.5956,7.9446,4.0000,0.0000,1.5171,0.6000,0.0000
111,2012-04-21,8.4956,0.1002,213.1378,0.5987,8.4956,4.0000,0.0000,1.5171,0.6000,0.0000
112,2012-04-22,9.6216,0.1002,186.8858,0.6017,9.6216,4.0000,0.0000,1.5171,0.6000,0.0000
113,2012-04-23,9.7180,0.1002,89.4377,0.6048,9.7180,4.0000,0.0000,1.5171,0.6000,0.0000
114,2012-04-24,9.8098,0.1002,236.6116,0.6078,9.8098,4.0000,0.0000,1.5171,0.6000,0.0000
115,2012-04-25,10.0247,0.1002,116.6029,0.6108,10.0247,4.0000,0.0000,1.5171,0.6000,0.0000
116,2012-04-26,10.5898,0.1001,248.9946,0.6138,10.5898,4.0000,0.0000,1.5171,0.6000,0.0000
117,2012-04-27,11.6638,0.1002,216.6550,0.6168,11.6638,4.0000,0.0000,1.5171,0.6000,0.0000
118,2012-04-28,12.6146,0.1002,229.7957,0.6197,12.6146,4.0000,0.0000,1.5171,0.6000,0.0000
119,2012-04-29,13.9803,0.1003,254.3451,0.6226,13.9803,4.0000,0.0000,1.5171,0.6000,0.0000
120,2012-04-30,14.9373,0.1004,250.1183,0.6256,14.9373,4.0000,0.0000,1.5171,0.6000,0.0000
121,2012-05-01,15.1106,0.1005,272.8456,0.6284,15.1106,4.0000,0.0000,1.5171,0.6000,0.0000
122,2012-05-02,14.8110,0.1006,286.9592,0.6313,14.8110,4.0000,0.0000,1.5171,0.6000,0.0000
123,2012-05-03,14.8103,0.1007,284.2271,0.6342,14.8103,4.0000,0.0000,1.5171,0.6000,0.0000
124,2012-05-04,14.5132,0.1007,144.4530,0.6370,14.5132,4.0000,0.0000,1.5171,0.6000,0.0000
125,2012-05-05,14.3254,0.1008,234.3728,0.6398,14.3254,4.0000,0.0000,1.5171,0.6000,0.0000
126,2012-05-06,13.9344,0.1008,146.8811,0.6425,13.9344,4.0000,0.0000,1.5171,0.6000,0.0000
127,2012-05-07,13.1276,0.1008,196.0963,0.6453,13.1276,4.0000,0.0000,1.5171,0.6000,0.0000
128,2012-05-08,13.4254,0.1009,279.9622,0.6480,13.4254,4.0000,0.0000,1.5171,0.6000,0.0000
129,2012-05-09,14.0852,0.1010,279.1932,0.6506,14.0852,4.0000,0.0000,1.5171,0.6000,0.0000
130,2012-05-10,14.7837,0.1009,260.5012,0.6533,14.7837,4.0000,0.0000,1.5171,0.6000,0.0000
131,2012-05-11,15.3077,0.1006,160.5447,0.6559,15.3077,4.0000,0.0000,1.5171,0.6000,0.0000
132,2012-05-12,14.4325,0.1006,195.9153,0.6585,14.4325,4.0000,0.0000,1.5171,0.6000,0.0000
133,2012-05-13,13.3255,0.3004,248.9810,0.6610,13.3255,4.0000,0.0000,1.5171,0.6000,0.0000
134,2012-05-14,13.6820,0.2605,274.9802,0.6635,13.6820,4.0000,0.0000,1.5171,0.6000,0.0000
135,2012-05-15,13.8680,0.1170,201.9222,0.6660,13.8680,4.0000,0.0000,1.5171,0.6000,0.0000
136,2012-05-16,13.4367,0.1344,43.1555,0.6684,13.4367,4.0000,0.0000,1.5171,0.6000,0.0000
137,2012-05-17,12.2321,0.4730,105.3984,0.6708,12.2321,4.0000,0.0000,1.5171,0.6000,0.0000
138,2012-05-18,12.0016,0.2882,264.2034,0.6731,12.0016,4.0000,0.0000,1.5171,0.6000,0.0000
139,2012-05-19,12.7566,0.1431,228.0661,0.6754,12.7566,4.0000,0.0000,1.5171,0.6000,0.0000
140,2012-05-20,13.9101,0.1219,291.6007,0.6777,13.9101,4.0000,0.0000,1.5171,0.6000,0.0000
141,2012-05-21,15.6626,0.1154,264.8422,0.6798,15.6626,4.0000,0.0000,1.5171,0.6000,0.0000
142,2012-05-22,17.4244,0.1166,264.3780,0.6820,17.4244,4.0000,0.0000,1.5171,0.6000,0.0000
143,2012-05-23,18.8339,0.1641,290.3207,0.6841,18.8339,4.0000,0.0000,1.5171,0.6000,0.0000
144,2012-05-24,18.2871,0.2676,319.0646,0.6861,18.2871,4.0000,0.0000,1.5171,0.6000,0.0000
145,2012-05-25,17.9419,0.1456,309.8277,0.6881,17.9419,4.0000,0.0000,1.5171,0.6000,0.0000
146,2012-05-26,17.7403,0.1132,253.5952,0.6900,17.7403,4.0000,0.0000,1.5171,0.6000,0.0000
147,2012-05-27,17.7271,0.1089,289.9150,0.6919,17.7271,4.0000,0.0000,1.5171,0.6000,0.0000
148,2012-05-28,17.6414,0.1053,316.1258,0.6937,17.6414,4.0000,0.0000,1.5171,0.6000,0.0000
149,2012-05-29,17.5146,0.1044,147.6401,0.6955,17.5146,4.0000,0.0000,1.5171,0.6000,0.0000
150,2012-05-30,15.9583,0.1376,251.4185,0.6971,15.9583,4.0000,0.0000,1.5171,0.6000,0.0000
151,2012-05-31,15.8187,0.1161,237.3598,0.6988,15.8187,4.0000,0.0000,1.5171,0.6000,0.0000
152,2012-06-01,15.6932,0.1058,139.0909,0.7003,15.6932,4.0000,0.0000,1.5171,0.6000,0.0000
153,2012-06-02,14.5222,0.1150,213.4121,0.7018,14.5222,4.0000,0.0000,1.5171,0.6000,0.0000
154,2012-06-03,13.8370,0.1124,267.6882,0.7032,13.8370,4.0000,0.0000,1.5171,0.6000,0.0000
155,2012-06-04,14.5491,0.1073,247.6588,0.7046,14.5491,4.0000,0.0000,1.5171,0.6000,0.0000
156,2012-06-05,15.1576,0.1065,196.9628,0.7058,15.1576,4.0000,0.0000,1.5171,0.6000,0.0000
157,2012-06-06,15.5839,0.1071,286.0960,0.7070,15.5839,4.0000,0.0000,1.5171,0.6000,0.0000
158,2012-06-07,16.4705,0.1063,235.0758,0.7082,16.4705,4.0000,0.0000,1.5171,0.6000,0.0000
159,2012-06-08,17.0116,0.1053,221.5533,0.7092,17.0116,4.0000,0.0000,1.5171,0.6000,0.0000
160,2012-06-09,17.8388,0.1046,291.7589,0.7102,17.8388,4.0000,0.0000,1.5171,0.6000,0.0000
161,2012-06-10,18.8659,0.1040,251.9908,0.7111,18.8659,4.0000,0.0000,1.5171,0.6000,0.0000
162,2012-06-11,19.2996,0.1041,224.7189,0.7119,19.2996,4.0000,0.0000,1.5171,0.6000,0.0000
163,2012-06-12,19.7221,0.1039,265.3744,0.7126,19.7221,4.0000,0.0000,1.5171,0.6000,0.0000
164,2012-06-13,20.0103,0.1037,253.2553,0.7133,20.0103,4.0000,0.0000,1.5171,0.6000,0.0000
165,2012-06-14,20.4864,0.1041,275.5662,0.7138,20.4864,4.0000,0.0000,1.5171,0.6000,0.0000
166,2012-06-15,20.0646,0.1047,279.4647,0.7143,20.0646,4.0000,0.0000,1.5171,0.6000,0.0000
167,2012-06-16,19.6701,0.1038,227.0091,0.7147,19.6701,4.0000,0.0000,1.5171,0.6000,0.0000
168,2012-06-17,19.8803,0.1030,298.1541,0.7150,19.8803,4.0000,0.0000,1.5171,0.6000,0.0000
169,2012-06-18,20.1564,0.1027,302.4245,0.7153,20.1564,4.0000,0.0000,1.5171,0.6000,0.0000
170,2012-06-19,20.2343,0.1027,237.3820,0.7154,20.2343,4.0000,0.0000,1.5171,0.6000,0.0000
171,2012-06-20,19.8424,0.1029,176.0043,0.7155,19.8424,4.0000,0.0000,1.5171,0.6000,0.0000
172,2012-06-21,19.6752,0.1039,185.4380,0.7155,19.6752,4.0000,0.0000,1.5171,0.6000,0.0000
173,2012-06-22,19.2073,0.1459,85.3536,0.7154,19.2073,4.0000,0.0000,1.5171,0.6000,0.0000
174,2012-06-23,18.9038,0.1400,280.4296,0.7152,18.9038,4.0000,0.0000,1.5171,0.6000,0.0000
175,2012-06-24,19.2481,0.1112,255.6502,0.7149,19.2481,4.0000,0.0000,1.5171,0.6000,0.0000
176,2012-06-25,18.8999,0.1029,223.1184,0.7145,18.8999,4.0000,0.0000,1.5171,0.6000,0.0000
177,2012-06-26,17.6090,0.1040,167.2540,0.7141,17.6090,4.0000,0.0000,1.5171,0.6000,0.0000
178,2012-06-27,16.8998,0.5771,214.2133,0.7136,16.8998,4.0000,0.0000,1.5171,0.6000,0.0000
179,2012-06-28,17.1337,0.7617,226.5580,0.7130,17.1337,4.0000,0.0000,1.5171,0.6000,0.0000
180,2012-06-29,18.1452,0.4281,304.5786,0.7123,18.1452,4.0000,0.0000,1.5171,0.6000,0.0000
181,2012-06-30,18.7976,0.1574,201.4928,0.7115,18.7976,4.0000,0.0000,1.5171,0.6000,0.0000
182,2012-07-01,19.5202,0.1233,207.6168,0.7106,19.5202,4.0000,0.0000,1.5171,0.6000,0.0000
183,2012-07-02,20.1782,0.1322,259.0821,0.7097,20.1782,4.0000,0.0000,1.5171,0.6000,0.0000
184,2012-07-03,20.1446,0.1257,129.2285,0.7087,20.1446,4.0000,0.0000,1.5171,0.6000,0.0000
185,2012-07-04,20.0849,0.1399,137.1840,0.7076,20.0849,4.0000,0.0000,1.5171,0.6000,0.0000
186,2012-07-05,20.8863,0.1321,215.3788,0.7065,20.8863,4.0000,0.0000,1.5171,0.6000,0.0000
187,2012-07-06,22.2146,0.1168,296.6423,0.7052,22.2146,4.0000,0.0000,1.5171,0.6000,0.0000
188,2012-07-07,23.5169,0.1069,278.9726,0.7039,23.5169,4.0000,0.0000,1.5171,0.6000,0.0000
189,2012-07-08,23.8130,0.1026,193.6493,0.7025,23.8130,4.0000,0.0000,1.5171,0.6000,0.0000
190,2012-07-09,23.7560,0.1010,230.4321,0.7011,23.7560,4.0000,0.0000,1.5171,0.6000,0.0000
191,2012-07-10,23.4357,0.1006,258.7808,0.6996,23.4357,4.0000,0.0000,1.5171,0.6000,0.0000
192,2012-07-11,23.3041,0.1002,275.7752,0.6980,23.3041,4.0000,0.0000,1.5171,0.6000,0.0000
193,2012-07-12,23.2219,0.1001,180.5700,0.6963,23.2219,4.0000,0.0000,1.5171,0.6000,0.0000
194,2012-07-13,21.9485,0.0998,215.1072,0.6946,21.9485,4.0000,0.0000,1.5171,0.6000,0.0000
195,2012-07-14,21.5182,0.0996,216.8039,0.6928,21.5182,4.0000,0.0000,1.5171,0.6000,0.0000
196,2012-07-15,20.3264,0.0996,218.0886,0.6910,20.3264,4.0000,0.0000,1.5171,0.6000,0.0000
197,2012-07-16,18.9496,0.1015,245.8859,0.6891,18.9496,4.0000,0.0000,1.5171,0.6000,0.0000
198,2012-07-17,18.1298,0.1106,159.3340,0.6871,18.1298,4.0000,0.0000,1.5171,0.6000,0.0000
199,2012-07-18,17.7263,0.4094,206.2292,0.6851,17.7263,4.0000,0.0000,1.5171,0.6000,0.0000
200,2012-07-19,17.4224,0.3909,106.1088,0.6830,17.4224,4.0000,0.0000,1.5171,0.6000,0.0000
201,2012-07-20,17.4220,0.4256,181.0977,0.6809,17.4220,4.0000,0.0000,1.5171,0.6000,0.0000
202,2012-07-21,17.5918,0.5641,216.3414,0.6788,17.5918,4.0000,0.0000,1.5171,0.6000,0.0000
203,2012-07-22,17.9301,0.6534,265.6306,0.6765,17.9301,4.0000,0.0000,1.5171,0.6000,0.0000
204,2012-07-23,18.3509,0.4296,230.7047,0.6743,18.3509,4.0000,0.0000,1.5171,0.6000,0.0000
205,2012-07-24,19.2852,0.2117,281.3027,0.6720,19.2852,4.0000,0.0000,1.5171,0.6000,0.0000
206,2012-07-25,20.8735,0.1868,296.2123,0.6696,20.8735,4.0000,0.0000,1.5171,0.6000,0.0000
207,2012-07-26,22.2107,0.2137,269.8410,0.6672,22.2107,4.0000,0.0000,1.5171,0.6000,0.0000
208,2012-07-27,23.1122,0.3051,291.1540,0.6648,23.1122,4.0000,0.0000,1.5171,0.6000,0.0000
209,2012-07-28,23.8352,0.2113,256.3259,0.6623,23.8352,4.0000,0.0000,1.5171,0.6000,0.0000
210,2012-07-29,24.4307,0.1473,237.3533,0.6598,24.4307,4.0000,0.0000,1.5171,0.6000,0.0000
211,2012-07-30,24.1531,0.1364,183.8293,0.6572,24.1531,4.0000,0.0000,1.5171,0.6000,0.0000
212,2012-07-31,23.6012,0.1270,254.1717,0.6546,23.6012,4.0000,0.0000,1.5171,0.6000,0.0000
213,2012-08-01,23.5534,0.1186,231.0994,0.6520,23.5534,4.0000,0.0000,1.5171,0.6000,0.0000
214,2012-08-02,23.3719,0.1124,279.3815,0.6493,23.3719,4.0000,0.0000,1.5171,0.6000,0.0000
215,2012-08-03,23.1606,0.1081,187.1902,0.6466,23.1606,4.0000,0.0000,1.5171,0.6000,0.0000
216,2012-08-04,22.9538,0.1123,236.2497,0.6439,22.9538,4.0000,0.0000,1.5171,0.6000,0.0000
217,2012-08-05,23.3217,0.1090,257.4073,0.6412,23.3217,4.0000,0.0000,1.5171,0.6000,0.0000
218,2012-08-06,23.6634,0.1065,196.3727,0.6384,23.6634,4.0000,0.0000,1.5171,0.6000,0.0000
219,2012-08-07,22.7991,0.1067,162.2108,0.6356,22.7991,4.0000,0.0000,1.5171,0.6000,0.0000
220,2012-08-08,20.9439,0.1056,211.2100,0.6327,20.9439,4.0000,0.0000,1.5171,0.6000,0.0000
221,2012-08-09,19.6859,0.1103,187.5165,0.6299,19.6859,4.0000,0.0000,1.5171,0.6000,0.0000
222,2012-08-10,19.2092,0.6919,138.4859,0.6270,19.2092,4.0000,0.0000,1.5171,0.6000,0.0000
223,2012-08-11,18.5198,1.2474,168.2113,0.6241,18.5198,4.0000,0.0000,1.5171,0.6000,0.0000
224,2012-08-12,18.0628,0.4097,164.5205,0.6212,18.0628,4.0000,0.0000,1.5171,0.6000,0.0000
225,2012-08-13,17.9441,0.2028,149.6209,0.6182,17.9441,4.0000,0.0000,1.5171,0.6000,0.0000
226,2012-08-14,17.8794,0.4198,180.3031,0.6153,17.8794,4.0000,0.0000,1.5171,0.6000,0.0000
227,2012-08-15,18.2059,0.3158,130.4408,0.6123,18.2059,4.0000,0.0000,1.5171,0.6000,0.0000
228,2012-08-16,18.6973,0.1654,155.5545,0.6093,18.6973,4.0000,0.0000,1.5171,0.6000,0.0000
229,2012-08-17,19.0911,0.1294,160.5802,0.6063,19.0911,4.0000,0.0000,1.5171,0.6000,0.0000
230,2012-08-18,19.4295,0.1170,146.2199,0.6033,19.4295,4.0000,0.0000,1.5171,0.6000,0.0000
231,2012-08-19,19.9257,0.1084,180.5952,0.6002,19.9257,4.0000,0.0000,1.5171,0.6000,0.0000
232,2012-08-20,20.6260,0.1083,183.4304,0.5972,20.6260,4.0000,0.0000,1.5171,0.6000,0.0000
233,2012-08-21,20.4339,0.1075,102.6521,0.5941,20.4339,4.0000,0.0000,1.5171,0.6000,0.0000
