           TIME,                NH4N,                NO3N,                PO4P,                DOXY,                DIAC,                ZOOC,                ZOON,                ZOOP,                DETC,                DETN,                DETP,                 DOC,                 DON,                 DOP,          NOFIX_CYNC,                 OPA,    DISSOLVED_SILICA,  PARTICULATE_SILICA,            FIX_CYNC,                 DIC,          ALKALINITY
       1.416667,        0.0414481617,        0.4948010852,        0.0458415768,       14.2907378389,        1.3010176024,        0.0200432284,        0.0003228006,        0.0000341281,        7.0963949390,        1.1228429790,        0.0288557254,        7.9981591014,        1.4752195334,        0.0222785120,        0.0836275371,        0.0330718097,        2.9522662613,        2.1347290020,        0.0000005018,        0.0026807449,        0.0027001083
       1.458333,        0.0408916147,        0.4942003747,        0.0457260946,       14.3160551875,        1.2636085204,        0.0200524113,        0.0003551409,        0.0000375722,        7.1462474450,        1.1329649178,        0.0299804172,        7.9979733998,        1.4727893470,        0.0220597703,        0.0867338849,        0.0345740280,        2.9480959084,        2.1883354866,        0.0000005670,        0.0026789478,        0.0027001457
       1.500000,        0.0403791695,        0.4935902492,        0.0456108456,       14.3407462027,        1.2273115421,        0.0200626109,        0.0003875280,        0.0000410250,        7.1945444404,        1.1427434003,        0.0310645493,        7.9977872653,        1.4703673534,        0.0218485334,        0.0900048920,        0.0361665815,        2.9440423839,        2.2403681879,        0.0000006358,        0.0026771715,        0.0027001868
       1.541667,        0.0399075244,        0.4929715314,        0.0454957028,       14.3648417328,        1.1920758721,        0.0200738626,        0.0004199714,        0.0000444873,        7.2413337920,        1.1521890438,        0.0321095163,        7.9976007760,        1.4679534715,        0.0216444136,        0.0934491043,        0.0378550113,        2.9401066537,        2.2908738812,        0.0000007086,        0.0026754150,        0.0027002313
       1.583333,        0.0394744257,        0.4923435634,        0.0453804849,       14.3883842619,        1.1578540109,        0.0200862020,        0.0004524806,        0.0000479599,        7.2866612905,        1.1613120036,        0.0331166389,        7.9974140468,        1.4655476328,        0.0214470556,        0.0970754614,        0.0396451762,        2.9362893921,        2.3398972162,        0.0000007855,        0.0026736769,        0.0027002791
       1.625000,        0.0390778356,        0.4917050257,        0.0452649550,       14.4114242617,        1.1246016518,        0.0200996652,        0.0004850652,        0.0000514438,        7.3305707921,        1.1701220050,        0.0340871698,        7.9972272293,        1.4631497811,        0.0212561333,        0.1008933059,        0.0415432663,        2.9325909735,        2.3874808549,        0.0000008669,        0.0026719558,        0.0027003304
       1.666667,        0.0387135460,        0.4910563121,        0.0451488201,       14.4340094158,        1.0922775750,        0.0201142885,        0.0005177348,        0.0000549399,        7.3731043542,        1.1786283729,        0.0350223002,        7.9970405128,        1.4607598722,        0.0210713460,        0.1049123919,        0.0435558160,        2.9290114652,        2.4336656043,        0.0000009531,        0.0026702502,        0.0027003846
       1.708333,        0.0383771648,        0.4903975344,        0.0450317306,       14.4561938164,        1.0608435372,        0.0201301084,        0.0005504991,        0.0000584489,        7.4143023682,        1.1868400619,        0.0359231649,        7.9968541241,        1.4583778734,        0.0208924158,        0.1091428921,        0.0456897165,        2.9255506233,        2.4784905453,        0.0000010445,        0.0026685583,        0.0027004417
       1.750000,        0.0380641206,        0.4897285114,        0.0449132799,       14.4780380439,        1.0302641573,        0.0201471612,        0.0005833677,        0.0000619718,        7.4542036862,        1.1947656842,        0.0367908473,        7.9966683280,        1.4560037632,        0.0207190856,        0.1135954036,        0.0479522283,        2.9222078893,        2.5219931570,        0.0000011414,        0.0026668782,        0.0027005014
       1.791667,        0.0377696694,        0.4890487583,        0.0447930044,       14.4996092109,        1.0005067975,        0.0201654834,        0.0006163501,        0.0000655096,        7.4928457446,        1.2024135369,        0.0376263842,        7.9964834272,        1.4536375314,        0.0205511166,        0.1182809528,        0.0503509928,        2.9189823910,        2.5642094358,        0.0000012442,        0.0026652079,        0.0027005634
       1.833333,        0.0374889019,        0.4883574773,        0.0446703835,       14.5209809699,        0.9715414383,        0.0201851110,        0.0006494556,        0.0000690630,        7.5302646810,        1.2097916284,        0.0384307700,        7.9962997618,        1.4512791780,        0.0203882868,        0.1232109981,        0.0528940436,        2.9158729443,        2.6051740096,        0.0000013534,        0.0026635449,        0.0027006275
       1.875000,        0.0372167543,        0.4876535493,        0.0445448406,       14.5422334824,        0.9433405499,        0.0202060797,        0.0006826936,        0.0000726330,        7.5664954476,        1.2169077032,        0.0392049602,        7.9961177097,        1.4489287132,        0.0202303891,        0.1283974315,        0.0555898162,        2.9128780587,        2.6449202474,        0.0000014694,        0.0026618869,        0.0027006936
       1.916667,        0.0369480209,        0.4869355251,        0.0444157431,       14.5634533507,        0.9158789560,        0.0202284248,        0.0007160732,        0.0000762205,        7.6015719178,        1.2237692658,        0.0399498758,        7.9959376851,        1.4465861570,        0.0200772306,        0.1338525780,        0.0584471577,        2.9099959447,        2.6834803624,        0.0000015926,        0.0026602313,        0.0027007616
       1.958333,        0.0366773705,        0.4862016173,        0.0442824041,       14.5847335107,        0.8891336943,        0.0202521807,        0.0007496032,        0.0000798261,        7.6355269880,        1.2303836030,        0.0406664060,        7.9957601386,        1.4442515387,        0.0199286305,        0.1395891930,        0.0614753343,        2.9072245249,        2.7208855106,        0.0000017236,        0.0026585752,        0.0027008312
       2.000000,        0.0363993662,        0.4854496917,        0.0441440835,       14.6061730865,        0.8630838702,        0.0202773809,        0.0007832923,        0.0000834509,        7.6683926735,        1.2367578054,        0.0413554115,        7.9955855557,        1.4419248964,        0.0197844200,        0.1456204575,        0.0646840380,        2.9045614468,        2.7571658823,        0.0000018628,        0.0026569158,        0.0027009024
       2.041667,        0.0361084894,        0.4846772575,        0.0439999901,       14.6278772089,        0.8377105062,        0.0203040581,        0.0008171486,        0.0000870956,        7.7002001980,        1.2428987872,        0.0420177275,        7.9954144558,        1.4396062766,        0.0196444403,        0.1519599705,        0.0680833914,        2.9020040993,        2.7923507891,        0.0000020110,        0.0026552498,        0.0027009752
       2.083333,        0.0357991688,        0.4838814563,        0.0438492835,       14.6499567962,        0.8129963875,        0.0203322435,        0.0008511800,        0.0000907608,        7.7309800768,        1.2488133045,        0.0426541661,        7.9952473907,        1.4372957336,        0.0195085428,        0.1586217391,        0.0716839500,        2.8995496315,        2.8264687430,        0.0000021685,        0.0026535741,        0.0027010494
       2.125000,        0.0354658148,        0.4830590496,        0.0436910764,       14.6725283031,        0.7889259028,        0.0203619671,        0.0008853942,        0.0000944474,        7.7607621937,        1.2545079726,        0.0432655190,        7.9950849431,        1.4349933289,        0.0193765875,        0.1656201649,        0.0754967032,        2.8971949734,        2.8595475302,        0.0000023361,        0.0026518852,        0.0027011251
       2.166667,        0.0351028598,        0.4822064032,        0.0435244382,       14.6957134351,        0.7654848843,        0.0203932571,        0.0009197980,        0.0000981560,        7.7895758713,        1.2599892812,        0.0438525592,        7.9949277245,        1.4326991308,        0.0192484428,        0.1729700267,        0.0795330710,        2.8949368600,        2.8916142776,        0.0000025144,        0.0026501795,        0.0027012023
       2.208333,        0.0347048050,        0.4813194684,        0.0433483973,       14.7196388352,        0.7426604445,        0.0204261401,        0.0009543981,        0.0001018871,        7.8174499343,        1.2652636089,        0.0444160433,        7.9947763735,        1.4304132135,        0.0191239846,        0.1806864590,        0.0838048986,        2.8927718566,        2.9226955131,        0.0000027041,        0.0026484535,        0.0027012811
       2.250000,        0.0342662751,        0.4803937603,        0.0431619455,       14.7444357416,        0.7204408146,        0.0204606405,        0.0009892003,        0.0001056414,        7.8444127659,        1.2703372353,        0.0449567132,        7.9946315528,        1.4281356569,        0.0190030957,        0.1887849262,        0.0883244466,        2.8906963860,        2.9528172187,        0.0000029059,        0.0026467032,        0.0027013616
       2.291667,        0.0337820806,        0.4794243302,        0.0429640417,       14.7702396210,        0.6988151826,        0.0204967808,        0.0010242102,        0.0001094194,        7.8704923576,        1.2752163522,        0.0454752974,        7.9944939471,        1.4258665453,        0.0188856658,        0.1972811895,        0.0931043760,        2.8887067573,        2.9820048776,        0.0000031205,        0.0026449248,        0.0027014439
       2.333333,        0.0332472899,        0.4784057336,        0.0427536163,       14.7971897788,        0.6777735355,        0.0205345810,        0.0010594323,        0.0001132214,        7.8957163517,        1.2799070732,        0.0459725126,        7.9943642602,        1.4236059671,        0.0187715900,        0.2061912686,        0.0981577284,        2.8867991953,        3.0102835133,        0.0000033488,        0.0026431144,        0.0027015283
       2.375000,        0.0326573102,        0.4773319915,        0.0425295757,       14.8254289460,        0.6573065050,        0.0205740587,        0.0010948709,        0.0001170478,        7.9201120775,        1.2844154411,        0.0464490647,        7.9942432115,        1.4213540138,        0.0186607695,        0.2155313947,        0.1034978991,        2.8849698707,        3.0376777236,        0.0000035915,        0.0026412678,        0.0027016151
       2.416667,        0.0320079824,        0.4761965430,        0.0422908081,       14.8551028547,        0.6374052187,        0.0206152289,        0.0011305292,        0.0001208989,        7.9437065801,        1.2887474353,        0.0469056498,        7.9941315333,        1.4191107794,        0.0185531101,        0.2253179546,        0.1091386027,        2.8832149310,        3.0642117071,        0.0000038496,        0.0026393810,        0.0027017047
       2.458333,        0.0312956850,        0.4749921924,        0.0420361890,       14.8863597819,        0.6180611587,        0.0206581035,        0.0011664099,        0.0001247749,        7.9665266434,        1.2929089761,        0.0473429546,        7.9940299663,        1.4168763593,        0.0184485228,        0.2355674245,        0.1150938297,        2.8815305298,        3.0899092841,        0.0000041238,        0.0026374498,        0.0027017975
       2.500000,        0.0305174544,        0.4737110446,        0.0417645868,       14.9193500837,        0.5992660283,        0.0207026918,        0.0012025149,        0.0001286759,        7.9885988060,        1.2969059285,        0.0477616578,        7.9939392566,        1.4146508496,        0.0183469224,        0.2462962917,        0.1213777932,        2.8799128573,        3.1147939115,        0.0000044152,        0.0026354701,        0.0027018940
       2.541667,        0.0296711192,        0.4723444311,        0.0414748704,       14.9542257069,        0.5810116278,        0.0207490001,        0.0012388452,        0.0001326020,        8.0099493722,        1.3007441049,        0.0481624296,        7.9938601502,        1.4124343459,        0.0182482282,        0.2575209630,        0.1280048632,        2.8783581685,        3.1388886918,        0.0000047246,        0.0026334378,        0.0027019950
       2.583333,        0.0287554511,        0.4708828249,        0.0411659156,       14.9911396798,        0.5632897404,        0.0207970312,        0.0012754010,        0.0001365531,        8.0306044155,        1.3044292655,        0.0485459325,        7.9937933895,        1.4102269424,        0.0181523628,        0.2692576589,        0.1349894885,        2.8768628106,        3.1622163778,        0.0000050531,        0.0026313487,        0.0027021012
       2.625000,        0.0277703323,        0.4693157440,        0.0408366136,       15.0302455794,        0.5460920292,        0.0208467851,        0.0013121819,        0.0001405290,        8.0505897787,        1.3079671186,        0.0489128214,        7.9937397075,        1.4080287306,        0.0180592522,        0.2815222913,        0.1423461037,        2.8754232494,        3.1847993716,        0.0000054016,        0.0026291987,        0.0027022136
       2.666667,        0.0267169405,        0.4676316434,        0.0404858791,       15.0716969690,        0.5294099458,        0.0208982581,        0.0013491864,        0.0001445296,        8.0699310671,        1.3113633194,        0.0492637434,        7.9936998223,        1.4058397984,        0.0179688252,        0.2943303243,        0.1500890201,        2.8740360928,        3.2066597199,        0.0000057712,        0.0026269839,        0.0027023332
       2.708333,        0.0255979470,        0.4658178001,        0.0401126594,       15.1156467922,        0.5132346498,        0.0209514436,        0.0013864122,        0.0001485545,        8.0886536378,        1.3146234671,        0.0495993377,        7.9936744318,        1.4036602288,        0.0178810137,        0.3076966176,        0.1582323002,        2.8726981132,        3.2278191057,        0.0000061628,        0.0026247006,        0.0027024612
       2.750000,        0.0244177275,        0.4638601906,        0.0397159446,       15.1622467214,        0.4975569420,        0.0210063314,        0.0014238564,        0.0001526033,        8.1067825845,        1.3177531021,        0.0499202355,        7.9936642066,        1.4014900981,        0.0177957514,        0.3216352520,        0.1667896143,        2.8714062674,        3.2482988358,        0.0000065776,        0.0026223449,        0.0027025993
       2.791667,        0.0231825753,        0.4617433735,        0.0392947777,       15.2116464200,        0.4823672089,        0.0210629079,        0.0014615149,        0.0001566756,        8.1243427180,        1.3207577015,        0.0502270595,        7.9936697837,        1.3993294749,        0.0177129746,        0.3361593375,        0.1757740783,        2.8701577138,        3.2681198266,        0.0000070165,        0.0026199133,        0.0027027490
       2.833333,        0.0219009029,        0.4594503872,        0.0388482660,       15.2639926840,        0.4676553806,        0.0211211564,        0.0014993831,        0.0001607707,        8.1413585434,        1.3236426741,        0.0505204233,        7.9936917592,        1.3971784187,        0.0176326210,        0.3512808050,        0.1851980746,        2.8689498277,        3.2873025869,        0.0000074806,        0.0026174027,        0.0027029123
       2.875000,        0.0205834119,        0.4569626854,        0.0383755922,       15.3194283988,        0.4534109009,        0.0211810566,        0.0015374554,        0.0001648879,        8.1578542335,        1.3264133547,        0.0508009313,        7.9937306809,        1.3950369779,        0.0175546299,        0.3670101839,        0.1950730551,        2.8677802127,        3.3058671989,        0.0000079710,        0.0026148100,        0.0027030914
       2.916667,        0.0192431963,        0.4542601423,        0.0378760272,       15.3780912019,        0.4396227115,        0.0212425852,        0.0015757256,        0.0001690266,        8.1738535998,        1.3290749977,        0.0510691775,        7.9937870402,        1.3929051886,        0.0174789417,        0.3833563676,        0.2054093285,        2.8666467102,        3.3238332989,        0.0000084887,        0.0026121324,        0.0027032887
       2.958333,        0.0178957345,        0.4513211710,        0.0373489415,       15.4401117235,        0.4262792486,        0.0213057156,        0.0016141865,        0.0001731860,        8.1893800608,        1.3316327703,        0.0513257454,        7.9938612647,        1.3907830725,        0.0174054978,        0.4003263719,        0.2162158349,        2.8655474052,        3.3412200561,        0.0000090346,        0.0026093677,        0.0027035069
       3.000000,        0.0165587063,        0.4481230171,        0.0367938181,       15.5056112006,        0.4133684535,        0.0213704181,        0.0016528303,        0.0001773650,        8.2044566083,        1.3340917447,        0.0515712068,        7.9939537096,        1.3886706361,        0.0173342403,        0.4179250889,        0.2274999090,        2.8644806288,        3.3580461520,        0.0000096097,        0.0026065139,        0.0027037488
       3.041667,        0.0152515630,        0.4446422981,        0.0362102645,       15.5746982435,        0.4008777960,        0.0214366602,        0.0016916487,        0.0001815628,        8.2191057724,        1.3364568909,        0.0518061211,        7.9940646503,        1.3865678683,        0.0172651116,        0.4361550431,        0.2392670381,        2.8634449577,        3.3743297602,        0.0000102149,        0.0026035694,        0.0027040176
       3.083333,        0.0139947743,        0.4408558615,        0.0355980243,       15.6474645276,        0.3887943118,        0.0215044063,        0.0017306323,        0.0001857782,        8.2333495855,        1.3387330685,        0.0520310348,        7.9941942748,        1.3844747394,        0.0171980543,        0.4550161543,        0.2515206176,        2.8624392091,        3.3900885272,        0.0000108511,        0.0026005332,        0.0027043162
       3.125000,        0.0128087052,        0.4367420064,        0.0349569882,       15.7239792806,        0.3771046521,        0.0215736183,        0.0017697716,        0.0001900102,        8.2472095459,        1.3409250189,        0.0522464805,        7.9943426763,        1.3823911999,        0.0171330109,        0.4745055143,        0.2642617093,        2.8614624332,        3.4053395541,        0.0000115190,        0.0025974047,        0.0027046475
       3.166667,        0.0117121377,        0.4322820527,        0.0342872041,       15.8042826709,        0.3657951461,        0.0216442553,        0.0018090560,        0.0001942576,        8.2607065815,        1.3430373573,        0.0524529758,        7.9945098470,        1.3803171791,        0.0170699237,        0.4946171810,        0.2774888097,        2.8605139014,        3.4200993816,        0.0000122194,        0.0025941840,        0.0027050142
       3.208333,        0.0107205693,        0.4274621224,        0.0335888859,       15.8883786138,        0.3548518734,        0.0217162743,        0.0018484749,        0.0001985191,        8.2738610148,        1.3450745649,        0.0526510230,        7.9946956722,        1.3782525844,        0.0170087347,        0.5153419982,        0.2911976308,        2.8595930914,        3.4343839765,        0.0000129528,        0.0025908716,        0.0027054181
       3.250000,        0.0098445641,        0.4222748555,        0.0328624204,       15.9762280296,        0.3442607473,        0.0217896299,        0.0018880168,        0.0002027936,        8.2866925285,        1.3470409815,        0.0528411080,        7.9948999259,        1.3761973008,        0.0169493852,        0.5366674437,        0.3053809012,        2.8586996690,        3.4482087214,        0.0000137197,        0.0025874687,        0.0027058605
       3.291667,        0.0090885523,        0.4167206654,        0.0321083737,       16.0677440005,        0.3340076041,        0.0218642747,        0.0019276701,        0.0002070796,        8.2992201343,        1.3489407987,        0.0530236999,        7.9951222668,        1.3741511905,        0.0168918161,        0.5585775098,        0.3200281918,        2.8578334671,        3.4615884087,        0.0000145206,        0.0025839771,        0.0027063414
       3.333333,        0.0084504678,        0.4108081405,        0.0313274946,       16.1627902408,        0.3240782988,        0.0219401594,        0.0019674225,        0.0002113759,        8.3114621433,        1.3507780532,        0.0531992499,        7.9953622360,        1.3721140930,        0.0168359676,        0.5810526186,        0.3351257687,        2.8569944630,        3.4745372370,        0.0000153557,        0.0025803992,        0.0027068599
       3.375000,        0.0079224294,        0.4045533868,        0.0305207169,       16.2611836016,        0.3144588023,        0.0220172331,        0.0020072616,        0.0002156809,        8.3234361397,        1.3525566212,        0.0533681911,        7.9956192553,        1.3700858250,        0.0167817793,        0.6040695738,        0.3506564783,        2.8561827536,        3.4870688125,        0.0000162252,        0.0025767380,        0.0027074143
       3.416667,        0.0074923376,        0.3979784393,        0.0296891601,       16.3627001138,        0.3051352984,        0.0220954433,        0.0020471746,        0.0002199933,        8.3351589581,        1.3542802136,        0.0535309378,        7.9958926270,        1.3680661813,        0.0167291899,        0.6276015455,        0.3665996658,        2.8553985297,        3.4991961539,        0.0000171292,        0.0025729974,        0.0027080019
       3.458333,        0.0071459475,        0.3911091826,        0.0288341280,       16.4670829360,        0.2960942776,        0.0221747363,        0.0020871487,        0.0002243117,        8.3466466644,        1.3559523715,        0.0536878852,        7.9961815344,        1.3660549347,        0.0166781378,        0.6516180893,        0.3829311273,        2.8546420507,        3.5109317015,        0.0000180675,        0.0025691816,        0.0027086197
       3.500000,        0.0068688593,        0.3839733383,        0.0279571064,       16.5740501561,        0.2873226239,        0.0222550574,        0.0021271705,        0.0002286346,        8.3579145401,        1.3575764628,        0.0538394089,        7.9964850437,        1.3640518371,        0.0166285606,        0.6760851924,        0.3996230967,        2.8539136191,        3.5222873302,        0.0000190398,        0.0025652956,        0.0027092647
       3.541667,        0.0066480017,        0.3765989480,        0.0270597589,       16.6833008701,        0.2788076932,        0.0223363505,        0.0021672268,        0.0002329605,        8.3689770708,        1.3591556801,        0.0539858649,        7.9968021058,        1.3620566195,        0.0165803952,        0.7009653436,        0.4166442640,        2.8532135574,        3.5332743660,        0.0000200459,        0.0025613450,        0.0027099336
       3.583333,        0.0064724440,        0.3690135171,        0.0261439225,       16.7945189330,        0.2705373803,        0.0224185593,        0.0022073042,        0.0002372879,        8.3798479381,        1.3606930384,        0.0541275892,        7.9971315595,        1.3600689936,        0.0165335780,        0.7262176216,        0.4339598258,        2.8525421858,        3.5439036057,        0.0000210851,        0.0025573360,        0.0027106235
       3.625000,        0.0063336151,        0.3612437440,        0.0252116018,       16.9073746416,        0.2625001734,        0.0225016263,        0.0022473891,        0.0002416153,        8.3905400148,        1.3621913745,        0.0542648980,        7.9974721348,        1.3580886514,        0.0164880451,        0.7517977944,        0.4515315625,        2.8518998034,        3.5541853397,        0.0000221567,        0.0025532754,        0.0027113316
       3.666667,        0.0062251289,        0.3533156383,        0.0242649629,       17.0215250507,        0.2546851947,        0.0225854939,        0.0022874682,        0.0002459413,        8.4010653629,        1.3636533463,        0.0543980874,        7.9978224565,        1.3561152670,        0.0164437318,        0.7776584240,        0.4693179417,        2.8512866716,        3.5641293764,        0.0000232600,        0.0025491706,        0.0027120553
       3.708333,        0.0061424203,        0.3452548261,        0.0233063275,       17.1366136480,        0.2470822270,        0.0226701040,        0.0023275277,        0.0002502642,        8.4114352349,        1.3650814333,        0.0545274336,        7.9981810484,        1.3541484966,        0.0164005733,        0.8037489721,        0.4872742451,        2.8507030007,        3.5737450693,        0.0000243940,        0.0025450294,        0.0027127921
       3.750000,        0.0060823439,        0.3370868901,        0.0223381660,       17.2522699193,        0.2396817264,        0.0227553981,        0.0023675543,        0.0002545828,        8.4216600756,        1.3664779370,        0.0546531931,        7.9985463368,        1.3521879798,        0.0163585044,        0.8300159006,        0.5053527167,        2.8501489402,        3.5830413439,        0.0000255574,        0.0025408602,        0.0027135395
       3.791667,        0.0060428197,        0.3288376634,        0.0213630912,       17.3681090997,        0.2324748224,        0.0228413178,        0.0024075345,        0.0002588954,        8.4317495273,        1.3678449819,        0.0547756027,        7.9989166548,        1.3502333401,        0.0163174594,        0.8564027661,        0.5235027341,        2.8496245715,        3.5920267261,        0.0000267490,        0.0025366720,        0.0027142951
       3.833333,        0.0060225581,        0.3205334429,        0.0203838516,       17.4837322325,        0.2254533055,        0.0229278043,        0.0024474549,        0.0002632006,        8.4417124344,        1.3691845168,        0.0548948795,        7.9992902465,        1.3482841861,        0.0162773726,        0.8828503065,        0.5416710008,        2.8491299040,        3.6007093703,        0.0000279673,        0.0025324742,        0.0027150567
       3.875000,        0.0060208636,        0.3122011206,        0.0194033242,       17.5987265574,        0.2186096056,        0.0230147991,        0.0024873021,        0.0002674969,        8.4515568498,        1.3704983160,        0.0550112214,        7.9996652707,        1.3463401120,        0.0162381781,        0.9092965228,        0.5598017668,        2.8486648734,        3.6090970871,        0.0000292107,        0.0025282765,        0.0027158216
       3.916667,        0.0060375072,        0.3038682424,        0.0184245075,       17.7126662252,        0.2119367623,        0.0231022437,        0.0025270631,        0.0002717829,        8.4612900409,        1.3717879807,        0.0551248073,        8.0000398065,        1.3444006987,        0.0161998100,        0.9356767599,        0.5778370799,        2.8482293430,        3.6171973694,        0.0000304773,        0.0025240892,        0.0027165875
       3.958333,        0.0060726479,        0.2955630073,        0.0174505125,       17.8251133381,        0.2054283885,        0.0231900794,        0.0025667246,        0.0002760572,        8.4709184959,        1.3730549405,        0.0552357969,        8.0004118577,        1.3424655152,        0.0161622023,        0.9619237968,        0.5957170763,        2.8478231058,        3.6250174185,        0.0000317650,        0.0025199231,        0.0027173518
       4.000000,        0.0061267905,        0.2873142159,        0.0164845524,       17.9356193513,        0.1990786313,        0.0232782480,        0.0026062737,        0.0002803182,        8.4804479304,        1.3743004550,        0.0553443311,        8.0007793599,        1.3405341194,        0.0161252892,        0.9879679585,        0.6133803218,        2.8474458889,        3.6325641675,        0.0000330718,        0.0025157891,        0.0027181120
       4.041667,        0.0062007678,        0.2791511715,        0.0155299306,       18.0437269038,        0.1928821303,        0.0233666913,        0.0026456974,        0.0002845647,        8.4898832937,        1.3755256147,        0.0554505323,        8.0011401880,        1.3386060601,        0.0160890053,        1.0137372669,        0.6307642146,        2.8470973577,        3.6398443038,        0.0000343951,        0.0025116986,        0.0027188655
       4.083333,        0.0062957390,        0.2711035347,        0.0145900239,       18.1489721833,        0.1868339767,        0.0234553514,        0.0026849831,        0.0002887952,        8.4992287759,        1.3767313432,        0.0555545044,        8.0014921666,        1.3366808792,        0.0160532855,        1.0391576533,        0.6478054646,        2.8467771216,        3.6468642893,        0.0000357323,        0.0025076632,        0.0027196098
       4.125000,        0.0064131980,        0.2632011266,        0.0136682625,       18.2508879592,        0.1809296749,        0.0235441704,        0.0027241180,        0.0002930083,        8.5084878164,        1.3779183986,        0.0556563333,        8.0018330835,        1.3347581142,        0.0160180655,        1.0641532602,        0.6644406646,        2.8464847385,        3.6536303798,        0.0000370806,        0.0025036947,        0.0027203422
       4.166667,        0.0065549881,        0.2554736730,        0.0127681037,       18.3490074363,        0.1751651071,        0.0236330907,        0.0027630896,        0.0002972027,        8.5176631133,        1.3790873760,        0.0557560868,        8.0021607057,        1.3328373022,        0.0159832823,        1.0886468639,        0.6806069685,        2.8462197194,        3.6601486416,        0.0000384368,        0.0024998049,        0.0027210601
       4.208333,        0.0067233180,        0.2479504841,        0.0118929985,       18.4428690880,        0.1695365051,        0.0237220552,        0.0028018855,        0.0003013770,        8.5267566369,        1.3802387102,        0.0558538151,        8.0024728016,        1.3309179840,        0.0159488743,        1.1125604538,        0.6962428884,        2.8459815317,        3.6664249678,        0.0000397976,        0.0024960059,        0.0027217611
